"","Lake_name","Invasion_category","Sample_type","Sample_origin","Collected_year","Collected_month_number","Littoral_zoobenthic_macroinvert_community_sample","Transect","Lat","Long","Sample_depth","Total_count","Vial_count","Functional_feeding_group","Method_of_take","real.name","Functional_group","Common_name","Scientific_name","Total_length_mm","Weight_g","Tube_box","Tube_ID","Tube_size_ml","Preservative","Isotope.sample.weight..mg.","Davis_ID_long","d13C","Total.C..µg.","d15N","Total.N..µg.","Type.of.Material","Sample.Weight..mg..from.Sample.List","Internal.ID","Lake_max_depth_m","Lake_surface_elev_m","Current_conversion","Secchi_m","Surface_area_ha","n","d13C_baseline","d13C_base_se","d15N_baseline","d15N_base_se","d13C_corr","d15N_corr"
"13","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",1,16,16,"Piercer-predator","D-net","Notonectidae","Littoral forage Invertebrate","Backswimmer","Notonectidae",NA,NA,"2019-AF","AFDA","1.5","Ethanol",1.07,"GOLF-G-11",-20.42,502.73,1.24,138.89,"Invertebrate",1.07,1668465,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.25625,0.42625
"14","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",1.5,6,6,"Piercer-predator","D-net","Notonectidae","Littoral forage Invertebrate","Backswimmer","Notonectidae",NA,NA,"2019-AF","AFDD","1.5","Ethanol",1.034,"GOLF-H-01",-18.5,425.16,1.08,120.29,"Invertebrate",1.034,1668467,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,5.17625,0.26625
"15","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",392,676,"2019-AF","AFAD","1.5","Ethanol",0.91,"GOLF-E-03",-24.08,447.42,6.04,133.53,"Fish",0.91,1668433,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-0.40375,5.22625
"16","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",NA,"47.586492","-113.420289",0.5,1,1,"Collector-gatherer-scraper","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2019-15-3","19-075","15","Ethanol",0.923,"INDIA-G-01",-16.04,398.52,0.78,83.15,"Invertebrate",0.923,1668647,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,7.63625,-0.03375
"17","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",1,1,1,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-AG","AGAD","1.5","Ethanol",0.909,"OSCAR-G-03",-24.6,406.09,3,94.81,"Invertebrate",0.909,1669225,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-0.92375,2.18625
"18","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",0.5,1,1,"Piercer-herbivore-scraper","D-net","Hydroptilidae","Littoral forage Invertebrate","Micro caddisfly","Hydroptilidae",NA,NA,"2019-AF","AFDI","1.5","Ethanol",0.413,"GOLF-H-02",-19.93,103.13,2.52,22.41,"Invertebrate",0.413,1668468,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.74625,1.70625
"20","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,4,2,"Engulfer-predator","D-net","Lestidae","Littoral forage Invertebrate","Spreadwinged damselfly","Lestidae",NA,NA,"2019-AF","AFCE","1.5","Ethanol",0.954,"GOLF-G-03",-26.34,453.32,3.6,131.02,"Invertebrate",0.954,1668457,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.66375,2.78625
"21","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Fyke","Mountain whitefish","Pelagic forage fish","Mountain whitefish","Prosopium williamsoni",113,12.4,"2019-AH","AHAX","1.5","Ethanol",0.937,"GOLF-F-01",-30.85,480.08,7.7,134.23,"Fish",0.937,1668443,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-7.17375,6.88625
"22","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Fyke","Mountain whitefish","Pelagic forage fish","Mountain whitefish","Prosopium williamsoni",103,9.2,"2019-AH","AHAV","1.5","Ethanol",1.007,"GOLF-E-11",-30.83,554.55,8.02,149.39,"Fish",1.007,1668441,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-7.15375,7.20625
"23","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",5,"47.600719","-113.394259",0.5,1,1,"Collector-gatherer-filterer","D-net","Ephemerellidae","Littoral forage Invertebrate","Spiny crawler mayfly","Ephemerellidae",NA,NA,"2019-AG","AGBL","1.5","Ethanol",0.922,"OSCAR-G-07",-19.96,458.49,0.65,103.61,"Invertebrate",0.922,1669229,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.71625,-0.16375
"24","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",618,1839.2,"2019-AF","AFAO","1.5","Ethanol",1.015,"GOLF-E-02",-31.02,508.76,11.22,124.08,"Fish",1.015,1668432,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-7.34375,10.40625
"25","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",0.5,15,15,"Piercer-predator","D-net","Notonectidae","Littoral forage Invertebrate","Backswimmer","Notonectidae",NA,NA,"2019-AF","AFCP","1.5","Ethanol",0.945,"GOLF-G-08",-20.61,448.38,1.29,118.12,"Invertebrate",0.945,1668462,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.06625,0.47625
"26","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",6,"47.601182","-113.3928",1,1,1,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-AG","AGCE","1.5","Ethanol",0.723,"GOLF-H-10",-21.21,339.62,2.78,92.05,"Invertebrate",0.723,1668476,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,2.46625,1.96625
"28","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,4,2,"Engulfer-predator","D-net","Lestidae","Littoral forage Invertebrate","Spreadwinged damselfly","Lestidae",NA,NA,"2019-AF","AFCE","1.5","Ethanol",0.983,"GOLF-F-08",-26.51,464.79,3.94,120.11,"Invertebrate",0.983,1668450,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.83375,3.12625
"29","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",1.5,2,2,"Piercer-predator","D-net","Dytiscidae","Littoral forage Invertebrate","Predaceous diving beetle adult","Dytiscidae",NA,NA,"2019-AF","AFDF","1.5","Ethanol",0.939,"OSCAR-F-10",-22.67,489.1,2.74,98.22,"Invertebrate",0.939,1669220,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,1.00625,1.92625
"30","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",0.5,3,2,"Piercer-predator","D-net","Elmidae","Littoral forage Invertebrate","Riffle beetle adult","Elmidae",NA,NA,"2019-AF","AFDJ","1.5","Ethanol",0.962,"OSCAR-F-11",-26.26,459.7,0.08,108.97,"Invertebrate",0.962,1669221,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.58375,-0.73375
"33","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",433,782.1,"2019-AF","AFAC","1.5","Ethanol",0.967,"GOLF-D-07",-27.63,448.45,10.47,142.47,"Fish",0.967,1668425,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-3.95375,9.65625
"34","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",NA,"47.586492","-113.420289",0.5,1,1,"Collector-gatherer-scraper","D-net","Planorbidae","Littoral forage Invertebrate","Planorbid snail","Planorbidae",NA,NA,"2019-15-3","19-075","15","Ethanol",1.077,"INDIA-F-11",-17.94,412.14,0.27,113.76,"Invertebrate",1.077,1668645,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,5.73625,-0.54375
"35","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,4,2,"Engulfer-predator","D-net","Lestidae","Littoral forage Invertebrate","Spreadwinged damselfly","Lestidae",NA,NA,"2019-AF","AFCE","1.5","Ethanol",0.934,"GOLF-F-12",-26.5,435.49,3.57,123.01,"Invertebrate",0.934,1668454,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.82375,2.75625
"36","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",7,"47.602715","-113.392628",1,1,1,"Collector-gatherer-engulfer","D-net","Naididae","Littoral forage Invertebrate","Oligochaete worm","Naididae",NA,NA,"2019-AG","AGDB","1.5","Ethanol",0.944,"HOTEL-A-11",-24.39,431.29,1.46,111.99,"Invertebrate",0.944,1668489,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-0.71375,0.64625
"37","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Mountain whitefish","Pelagic forage fish","Mountain whitefish","Prosopium williamsoni",221,101.9,"2019-AH","AHAG","1.5","Ethanol",1,"GOLF-E-10",-28.79,524.48,7.29,126.3,"Fish",1,1668440,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.11375,6.47625
"38","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.587444","-113.413688",17,3,3,"Collector-gatherer-scraper","Dredge","Chironomidae_r","Profundal forage Invertebrate","Midge","Chironomidae_r",NA,NA,"2019-AG","AGDK","1.5","Ethanol",1.061,"OSCAR-H-02",-35.03,443.58,3.69,69.19,"Invertebrate",1.061,1669236,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-11.35375,2.87625
"39","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",274,243.3,"2019-AF","AFAH","1.5","Ethanol",1.092,"GOLF-E-04",-29.74,567.48,7.63,147.59,"Fish",1.092,1668434,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.06375,6.81625
"40","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",0.5,1,1,"Piercer-predator","D-net","Ptychopteridae","Littoral forage Invertebrate","Phantom cranefly","Ptychopteridae",NA,NA,"2019-AF","AFCQ","1.5","Ethanol",0.995,"GOLF-G-09",-25.82,468.18,3.27,116.52,"Invertebrate",0.995,1668463,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.14375,2.45625
"41","Big Salmon","Reference","Periphyton","Autochthonous",2019,8,"NO",NA,"47.585993","-113.420044",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2019-15-1","19-064","15","Water",9.997,"INDIA-F-07",-19.06,546.23,0.25,40.15,"Plant",9.997,1668641,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,4.61625,-0.56375
"42","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.590177","-113.409681",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2019-50-3","19-067","50","Water",1.025,"HOTEL-C-09",-35.2,442.17,5.09,59.16,"Invertebrate",1.025,1668511,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-11.52375,4.27625
"43","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",1,8,8,"Piercer-predator","D-net","Elmidae","Littoral forage Invertebrate","Riffle beetle adult","Elmidae",NA,NA,"2019-AF","AFDQ","1.5","Ethanol",0.924,"OSCAR-G-02",-25.97,418.32,-0.17,95.89,"Invertebrate",0.924,1669224,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.29375,-0.98375
"44","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.587444","-113.413688",17,3,3,"Collector-gatherer-scraper","Dredge","Chironomidae_r","Profundal forage Invertebrate","Midge","Chironomidae_r",NA,NA,"2019-AG","AGDK","1.5","Ethanol",1.079,"OSCAR-G-12",-35.98,485.99,3.92,103.68,"Invertebrate",1.079,1669234,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-12.30375,3.10625
"45","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",1.5,8,8,"Piercer-predator","D-net","Elmidae","Littoral forage Invertebrate","Riffle beetle adult","Elmidae",NA,NA,"2019-AG","AGAG","1.5","Ethanol",1.087,"OSCAR-G-04",-27.71,554.56,-0.16,123.46,"Invertebrate",1.087,1669226,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-4.03375,-0.97375
"46","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.590177","-113.409681",5,NA,NA,"Filterer-collector-phytoplanktivore","Zooplankton tow","Zooplankton","Pelagic forage Invertebrate","Zooplankton","Zooplankton",NA,NA,"2019-50-3","19-068","50","Water",0.922,"HOTEL-C-10",-36.32,375.44,4.43,46.78,"Invertebrate",0.922,1668512,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-12.64375,3.61625
"47","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",4,"47.596424","-113.400823",0.5,1,1,"Collector-gatherer-scraper","D-net","Physidae","Littoral forage Invertebrate","Physid snail","Physidae",NA,NA,"2019-AG","AGAM","1.5","Ethanol",0.934,"GOLF-H-07",-22.6,373.13,1.09,106.91,"Invertebrate",0.934,1668473,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,1.07625,0.27625
"48","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",4,"47.596424","-113.400823",0.5,1,1,"Collector-gatherer-scraper","D-net","Physidae","Littoral forage Invertebrate","Physid snail","Physidae",NA,NA,"2019-AG","AGAM","1.5","Ethanol",0.643,"GOLF-H-08",-21.57,226.06,0.19,49.77,"Invertebrate",0.643,1668474,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,2.10625,-0.62375
"49","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",6,"47.601182","-113.3928",1,1,1,"Engulfer-predator","D-net","Libellulidae","Littoral forage Invertebrate","Skimmer dragonfly","Libellulidae",NA,NA,"2019-AG","AGCK","1.5","Ethanol",0.973,"HOTEL-A-01",-23.36,524.72,2.24,100.97,"Invertebrate",0.973,1668479,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,0.31625,1.42625
"50","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",0.5,12,5,"Shredder-gatherer-scraper-detritivore-herbivore","D-net","Limnephilidae","Littoral forage Invertebrate","Northern case maker caddisfly","Limnephilidae",NA,NA,"2019-AF","AFBX","1.5","Ethanol",0.968,"GOLF-F-03",-26.06,318.74,-0.67,55.24,"Invertebrate",0.968,1668445,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.38375,-1.48375
"51","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",0.5,5,2,"Engulfer-predator-shredder-herbivore-collector-gatherer","D-net","Leptoceridae","Littoral forage Invertebrate","Longhorned case maker caddisfly","Leptoceridae",NA,NA,"2019-AF","AFBY","1.5","Ethanol",0.989,"GOLF-F-04",-25.61,430.75,2.77,88.13,"Invertebrate",0.989,1668446,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-1.93375,1.95625
"52","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.587444","-113.413688",12,1,1,"Collector-filterer","Dredge","Sphaeriidae","Profundal forage Invertebrate","Fingernail clam","Sphaeriidae",NA,NA,"2019-AG","AGDM","1.5","Ethanol",0.375,"HOTEL-A-12",-19.86,66.74,0.45,8.31,"Invertebrate",0.375,1668490,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.81625,-0.36375
"53","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,1,2,"Piercer-predator","D-net","Hirudinea","Littoral forage Invertebrate","Leech","Hirudinea",NA,NA,"2019-AF","AFBZ","1.5","Ethanol",1.079,"GOLF-F-05",-23.16,540.53,7.41,135.44,"Invertebrate",1.079,1668447,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,0.51625,6.59625
"54","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",6,"47.601182","-113.3928",1,1,1,"Engulfer-predator","D-net","Libellulidae","Littoral forage Invertebrate","Skimmer dragonfly","Libellulidae",NA,NA,"2019-AG","AGCK","1.5","Ethanol",0.906,"HOTEL-A-02",-22.01,407.62,3.14,108.03,"Invertebrate",0.906,1668480,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,1.66625,2.32625
"55","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",6,"47.601182","-113.3928",1,1,1,"Engulfer-predator","D-net","Libellulidae","Littoral forage Invertebrate","Skimmer dragonfly","Libellulidae",NA,NA,"2019-AG","AGCK","1.5","Ethanol",1.058,"HOTEL-A-03",-23.37,560.01,2.8,116.07,"Invertebrate",1.058,1668481,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,0.30625,1.98625
"56","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",314,317.6,"2019-AF","AFAK","1.5","Ethanol",0.943,"GOLF-E-05",-31.77,450.5,7.98,139.01,"Fish",0.943,1668435,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-8.09375,7.16625
"57","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",356,486.9,"2019-AF","AFAL","1.5","Ethanol",1.074,"GOLF-E-06",-26.08,538.75,7.94,148.13,"Fish",1.074,1668436,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.40375,7.12625
"58","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Cutthroat trout","Generalist fish","Cutthroat trout","Oncorhynchus clarkii lewisi",268,200.1,"2019-AF","AFAR","1.5","Ethanol",1.021,"GOLF-E-07",-26.45,500.76,6.31,150.2,"Fish",1.021,1668437,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.77375,5.49625
"59","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",3,"47.596381","-113.401445",1,1,1,"Shredder-gatherer-scraper-detritivore-herbivore","D-net","Limnephilidae","Littoral forage Invertebrate","Northern case maker caddisfly","Limnephilidae",NA,NA,"2019-AF","AFDP","1.5","Ethanol",0.913,"GOLF-H-03",-18.38,391.46,0.44,68.15,"Invertebrate",0.913,1668469,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,5.29625,-0.37375
"60","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Mountain whitefish","Pelagic forage fish","Mountain whitefish","Prosopium williamsoni",210,88.4,"2019-AH","AHAF","1.5","Ethanol",1.032,"GOLF-E-09",-27.13,497.41,6.66,153.31,"Fish",1.032,1668439,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-3.45375,5.84625
"62","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",5,"47.600719","-113.394259",0.5,2,2,"Collector-gatherer-engulfer","D-net","Naididae","Littoral forage Invertebrate","Oligochaete worm","Naididae",NA,NA,"2019-AG","AGBK","1.5","Ethanol",0.966,"GOLF-H-09",-24.89,462.77,1.58,125.77,"Invertebrate",0.966,1668475,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-1.21375,0.76625
"63","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",533,1540.3,"2019-AF","AFAF","1.5","Ethanol",0.93,"GOLF-D-09",-30.39,486.74,11.5,117.13,"Fish",0.93,1668427,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.71375,10.68625
"64","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",7,"47.602715","-113.392628",0.5,3,3,"Shredder-gatherer-scraper-detritivore-herbivore","D-net","Limnephilidae","Littoral forage Invertebrate","Northern case maker caddisfly","Limnephilidae",NA,NA,"2019-AG","AGCU","1.5","Ethanol",0.948,"HOTEL-A-10",-19.76,468.54,0.03,97.01,"Invertebrate",0.948,1668488,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.91625,-0.78375
